"Source";"Target";"Weight"
1;28;0.0453826095454
1;511;0.0619681000402
1;512;0.0651227315343
1;513;0.0356120691954
2;11;0.0213799778479
2;514;0.0094474185305
2;515;0.0287028344895
2;516;0.0281263566591
3;15;0.0770163408821
3;517;0.072644573323
3;518;0.1034454252555
3;519;0.050218616395
4;13;0.0119452715161
4;520;0.0655163222879
4;521;0.0480228299475
4;522;0.1059001977333
5;35;0.193627638388
5;523;0.1051610436323
5;524;0.0356545361545
5;525;0.1364735847689
5;526;0.3658638170007
5;527;0.4265667034585
6;16;1.0
6;528;1.0
6;529;1.0
6;756;0.0139739318365
7;11;0.0256743272031
7;22;0.0210225714002
7;28;0.0390713939069
7;530;0.022686537132
8;26;0.1837849269656
8;511;0.0804601094644
8;519;0.0751951372066
8;531;0.0153182560822
8;532;0.0692709657532
8;533;0.256286891047
9;17;0.3482685095615
9;28;0.1222021119662
9;519;0.0669376052196
9;534;0.0314637676182
9;535;0.0760778769518
10;30;0.0198225831879
10;520;0.0285433705992
10;534;0.0223145964959
10;536;0.0243888936303
11;13;0.3408102476316
11;44;0.3405654642732
11;537;0.0216281526778
11;756;0.0112709130341
12;15;0.068537482069
12;19;0.4629416629746
12;19;0.4629416629746
12;519;0.05001044905
12;522;0.110262787586
12;532;0.1368958693274
13;24;0.4221034849127
13;44;0.6550494734119
13;538;0.0076628148042
13;539;0.011382284428
13;540;0.5411052698224
14;42;0.4126081498536
14;511;0.0524184188721
14;514;0.0200494965482
14;534;0.0245933004795
14;539;0.0315100072035
14;541;0.451695547165
15;36;0.0797064006228
15;539;0.0569565489929
15;542;0.0926328973654
15;756;0.1216731825
16;27;0.0080842571981
16;30;0.01662796768
16;516;0.0
16;536;0.0
17;522;0.0148945526661
17;530;0.0355082153924
17;536;0.0310435817246
18;23;0.0694183566455
18;543;0.0022216845466
18;544;0.0136503972509
18;546;0.017453990312
18;547;0.0136765990552
19;72;0.324648257931
19;536;0.0632252220446
19;548;0.0605707640573
19;549;0.3873525455724
20;25;0.0334932480273
20;32;0.1163586097967
20;511;0.0660308225057
20;518;0.0504428462568
21;28;0.0460804753357
21;516;0.059334617389
21;534;0.0545142789139
21;756;0.0314691850722
22;29;0.4227115591496
22;31;0.5448982117968
22;40;0.2614832495894
22;50;0.0594837894933
22;546;0.0623685081444
22;550;0.0646309073124
23;34;0.0167940326753
23;511;0.0269885700689
23;519;0.0303256223308
23;522;0.0220741845262
24;33;0.2069125947203
24;519;0.0318961383044
24;532;0.0803347749832
24;546;0.0230465510942
24;756;0.0245083469715
25;28;0.0265510754824
25;37;0.0375434637544
25;546;0.0290873031565
25;551;0.0376227057369
26;38;0.0785760870271
26;511;0.0971585009182
26;516;0.0319792105432
26;522;0.0512267899277
26;552;0.2920207436718
27;39;0.0376912302717
27;539;0.0304928175536
27;547;0.0290655304964
27;553;0.0699246238477
28;45;0.1833415700057
28;518;0.1075998807405
28;554;0.1057527319799
28;555;0.0632510561025
28;556;0.1053797421561
29;555;0.0730018686979
29;557;0.0424640294686
29;558;0.0381587162445
30;41;0.2613071812277
30;536;0.0220811574741
30;559;0.3950228365914
30;560;0.2761251963724
31;43;0.019213531298
31;47;0.587515110893
31;47;0.587515110893
31;511;0.089194001276
31;530;0.0464418264858
31;536;0.019343830401
32;530;0.0546966285547
32;532;0.0690680466626
32;534;0.0499516144259
32;536;0.0333575033972
33;49;0.3267552986495
33;530;0.0836910094332
33;561;0.0288791159684
33;562;0.0187234721958
33;563;0.2206056191154
34;58;0.1153755966329
34;521;0.0321000618351
34;534;0.0444870404643
34;546;0.0251026488215
35;51;0.3873827346998
35;52;0.3569769472671
35;522;0.0880030869773
35;536;0.0553092020646
35;564;0.5375077284157
36;548;0.1045160761317
36;561;0.0288271248519
37;46;0.2221098776634
37;56;0.2806077862296
37;61;0.1787907687147
37;62;0.3182833227888
37;556;0.0242539479351
37;565;0.1253111962737
38;518;0.0168036939516
38;521;0.015536784354
39;64;0.0622856406617
39;517;0.13538817016
39;546;0.0366051857784
40;53;0.4337614786795
40;515;0.0307147618625
40;566;0.0249257917863
41;512;0.0475775262583
41;519;0.0314565532319
41;534;0.0183376059159
41;539;0.0271824903428
42;515;0.0180334361015
42;530;0.0161618068756
42;536;0.0350150919291
42;541;0.665944297587
43;48;0.3966949832411
43;515;0.0195500963231
43;561;0.0344454706349
43;567;0.558325023851
44;63;0.0119957149405
44;65;0.0241101371196
44;511;0.0257879270573
44;546;0.0210072428622
45;54;0.0545636953615
45;518;0.1294831067409
46;55;0.1330196016355
46;530;0.0303623982804
46;532;0.0564269399637
46;562;0.052723711231
46;568;0.1550079374702
47;57;0.4986019278514
47;515;0.0213193600409
47;518;0.0330250163623
47;569;0.027240750185
47;570;0.0236087326454
47;571;0.578786453886
48;67;0.3712701525613
48;514;0.0099007500952
48;531;0.0420674836422
48;544;0.0383926797183
48;572;0.0828775168975
49;59;0.2748953490579
49;512;0.0528381852763
49;532;0.1047335325776
49;544;0.0339037404423
49;756;0.0539100083933
50;60;0.1473849429773
50;532;0.0533822079546
50;573;0.0195704643791
50;574;0.2727368598257
50;575;0.0253050232454
50;576;0.4000288398551
51;52;0.3255000338837
51;70;0.0732702230566
51;514;0.0191963099442
51;577;0.1918104511891
52;530;0.047750733177
52;532;0.0721066377894
52;562;0.042180937577
53;512;0.0242293754698
53;539;0.0829265123286
